taxaEntrada	mediaSessoes	maximoSessoes	mediaTempoSessao	mediaTempoResposta	utilizacaoCliente	utilizacaoAplicacaoCpu	utilizacaoAplicacaoHd	utilizacaoJossoAgentCpu	utilizacaoJossoAgentHd	utilizacaoJossoGatewayCpu	utilizacaoJossoGatewayHd	utilizacaoBdCpu	utilizacaoBdHd	tempoRespostaAcessarPaginaInicial	tempoRespostaRecuperarSenha	tempoRespostaEfetuarLogin	tempoRespostaAcessarPaginaInicialRestrita	tempoRespostaAlterarSenha	tempoRespostaAcessarUmSistema	tempoRespostaEfetuarLogout
1.0	78.5548952393157	101	75.84288486493048	0.05338820209705097	0.0	0.04675660766926473	0.05340829686074243	0.005954697335599956	0.007567238280760674	0.007263129514807367	0.009382093040238026	0.02232989927287087	0.03478325623216266	0.01248994445103636	0.08518671630425573	0.11986388538834099	0.016427869814100365	0.08011487181978291	0.012534130658659626	0.04709999624318077
1.5	117.37100621964727	152	76.1878726189844	0.05439203827063082	0.0	0.06946291209991486	0.08177782842740174	0.009120696129197303	0.011655342685244065	0.011081707116209953	0.013426229422587033	0.03252722534960428	0.05304654350024586	0.012789325804932106	0.0853993211142371	0.12203962769572858	0.017310672478632782	0.08138986909828523	0.013092773991304724	0.048722677711295174
2.0	154.17957389798386	199	76.23442780354587	0.055128263332114354	0.0	0.089877641740563	0.10548017642548828	0.01189839165687754	0.014964742094912388	0.014134794301515704	0.01808283750069126	0.04374891718932741	0.06696990212807913	0.013931308616252178	0.08622622826492887	0.12226915133498424	0.017731036572231608	0.08210947619341728	0.013865807087963705	0.049764835255022545
2.5	196.37509331479907	234	77.98356314045272	0.05736246350930722	0.0	0.1150687150959507	0.13361046987958752	0.015544638722017707	0.01903061310896905	0.017993582677843425	0.022748479258067233	0.05617786379783305	0.08597955828398596	0.014991578598460877	0.0912505958410813	0.12477050530009046	0.01895423196695812	0.086026165692328	0.014674764872500367	0.05086940229373139
3.0	238.63507589252382	294	78.4417210447807	0.05899769420253072	0.0	0.140000178181575	0.1637210732177591	0.018158182863577756	0.02309327091199671	0.022077259127928045	0.028025770893863777	0.06613859203442113	0.10302808466500843	0.016200144446539874	0.09279093198558573	0.12774261561399777	0.019961932412075997	0.08793664538525835	0.015988338670602373	0.05236325090365491
3.5	273.18093492378694	321	78.09462036892364	0.05960451159056857	0.0	0.1601011413783594	0.18656004687546826	0.021181619995182383	0.026473949387271056	0.025325561022469387	0.032109305508891114	0.07567022427594047	0.12023774982910018	0.01695205300080191	0.09345795135788547	0.12778291744330375	0.020735510591930423	0.08753374573601871	0.017004555848887198	0.053764847155152506
4.0	315.69241451486306	365	78.34910939564351	0.061286869402796006	0.0	0.1847816638488048	0.21574401196068516	0.024195331430291196	0.03034745543085702	0.0290381488954689	0.036497570806509824	0.08842732664581736	0.1383834006527931	0.018296283347612113	0.09629715650632283	0.1304645306382287	0.02165218096958052	0.08995096367635866	0.018269318237495797	0.054077652443973445
4.5	347.8870109477908	403	77.42235448804385	0.0628439681687278	0.0	0.20311546733531405	0.23673080284346198	0.02685129948088996	0.03333931878784992	0.031675274791059624	0.0406902972549925	0.09840644035926062	0.15304642516427047	0.01909783427478236	0.09785196908139936	0.1318244515104418	0.022946665756313815	0.09275985390176283	0.019217297135985162	0.05620970552040928
5.0	388.55787925902604	456	77.8978938328419	0.06393016548601474	0.0	0.2279275024414397	0.265250303177298	0.029993735212186002	0.037182425388611134	0.035978590437093484	0.04466848693687693	0.1094712509822464	0.17231915473926904	0.02041825463869447	0.09987501757067924	0.13396530180541938	0.023943116592225932	0.09294467328345864	0.02068132661761715	0.05568346789400847
5.5	444.87080698930913	504	79.50442283046601	0.06622239868420697	0.0	0.25732329089678696	0.29910571952509685	0.03367710071133643	0.0421666798907585	0.0408220184851412	0.05088271251234854	0.1232660487364048	0.1939998487546507	0.022078556826208007	0.10389614155793149	0.1360147418992645	0.025610373456690348	0.09703227831069133	0.022102272938343232	0.05682242580031992
